onset	duration 	trial_type				
0	4	sour				
12	4	sweet				
24	4	sour				
36	4	object				
48	4	salty				
60	4	sweet				
72	4	salty				
84	4	object				
96	4	sweet				
108	4	object				
120	4	sour				
132	4	salty				
144	4	sweet				
156	4	salty				
168	4	sour				
180	4	object				
192	4	sour				
204	4	salty				
216	4	sour				
228	4	sweet				
240	4	object				
252	4	sweet				
264	4	sour				
276	4	sweet				
288	4	salty				
300	4	sweet				
312	4	object				
324	4	salty				
336	4	object				
348	4	sour				
360	4	object				
372	4	salty				